ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;3,18349957;-7,39356661;5,174424
1;3,200097;-7,433531;5,19021749
2;3,140923;-7,474222;5,271338
3;3,06803775;-7,503287;5,35676575
4;3,03484249;-7,51200676;5,391942
5;3,10628438;-7,498201;5,35676575
6;3,25421977;-7,46986246;5,32876873
7;3,3603003;-7,46186924;5,39050627
8;3,35957861;-7,47494841;5,44291162
9;3,25061154;-7,48294163;5,411325
10;3,07020259;-7,517093;5,33594751
11;2,934535;-7,5606904;5,2390337
12;2,92154574;-7,54107141;5,174424
13;2,98793626;-7,45750952;5,168681
14;3,111336;-7,35432863;5,178014
15;3,27947712;-7,25768757;5,16724539
16;3,43535042;-7,193744;5,127044
17;3,5486474;-7,177032;5,05310249
18;3,63524365;-7,20319033;4,94613838
19;3,60349154;-7,277306;4,88655424
20;3,34947586;-7,37612724;4,895169
21;3,13442826;-7,409552;4,882247
22;3,238344;-7,333983;4,91383362
23;3,40865;-7,246788;4,997108
24;3,33576465;-7,23007536;4,95906
25;3,164737;-7,26786;4,822663
26;3,12721181;-7,359415;4,660422
27;3,13587165;-7,485848;4,510385
28;3,08968687;-7,5606904;4,48813057
29;3,14741778;-7,55487776;4,56637955
30;3,382671;-7,51200676;4,630271
31;3,68936634;-7,464776;4,672626
32;3,973691;-7,44370365;4,732928
33;4,15554333;-7,47494841;4,79610157
34;4,19523335;-7,547611;4,865736
35;4,16636753;-7,61882067;4,924602
36;4,181522;-7,666778;4,95188141
37;4,122348;-7,719822;5,0150547
38;3,88132143;-7,75542641;5,050231
39;3,67709851;-7,756153;4,960496
40;3,66194415;-7,753973;4,822663
41;3,70668554;-7,74888659;4,737235
42;3,6547277;-7,727088;4,76451445
43;3,55009055;-7,677677;4,91168
44;3,5161736;-7,61664057;5,05382061
45;3,575348;-7,581036;5,068896
46;3,63813019;-7,581036;5,058128
47;3,586894;-7,633353;5,05956364
48;3,43535042;-7,78085852;4,852096
49;3,39205241;-7,921824;4,653243
50;3,64678979;-7,861514;4,84132767
51;4,035752;-7,69656944;4,9727
52;4,143997;-7,69439;4,71713448
53;3,969361;-7,833902;4,503924
