ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
148;-0,1887055;-0,146921679;9,643948
149;-0,177880958;-0,1476483;9,644666
150;-0,176437691;-0,156367809;9,648254
151;-0,187983871;-0,157821074;9,651126
152;-0,191592038;-0,151281431;9,655434
153;-0,189427137;-0,149828181;9,661895
154;-0,185097322;-0,1505548;9,652562
155;-0,1706646;-0,156367809;9,634615
156;-0,167056426;-0,1585477;9,636768
157;-0,182210773;-0,149828181;9,645383
158;-0,187262222;-0,144741789;9,63964
159;-0,183654055;-0,152008057;9,637486
160;-0,194478586;-0,155641183;9,64322948
161;-0,1966435;-0,149828181;9,647537
162;-0,187262222;-0,146921679;9,652562
163;-0,177159324;-0,14837493;9,646101
164;-0,165613145;-0,146921679;9,63964
165;-0,166334778;-0,149828181;9,647537
166;-0,18148914;-0,151281431;9,648254
167;-0,190148771;-0,1476483;9,64322948
168;-0,1908704;-0,14837493;9,646101
169;-0,185097322;-0,1476483;9,651844
170;-0,184375688;-0,144741789;9,654716
171;-0,190148771;-0,1476483;9,649691
172;-0,18148914;-0,152008057;9,641794
173;-0,169221327;-0,149828181;9,645383
174;-0,173551142;-0,141835287;9,649691
175;-0,1807675;-0,137475535;9,651844
176;-0,18148914;-0,144015163;9,653998
177;-0,176437691;-0,1505548;9,653998
178;-0,16994296;-0,151281431;9,652562
179;-0,172107875;-0,151281431;9,646101
180;-0,176437691;-0,149101555;9,648254
181;-0,178602591;-0,143288538;9,651844
182;-0,183654055;-0,144015163;9,643948
183;-0,184375688;-0,144741789;9,647537
184;-0,191592038;-0,139655411;9,651844
185;-0,192313686;-0,137475535;9,646101
186;-0,172829509;-0,145468414;9,651126
187;-0,164891511;-0,149101555;9,64322948
188;-0,172829509;-0,141108662;9,628872
189;-0,179324239;-0,145468414;9,644666
190;-0,183654055;-0,154914558;9,656152
191;-0,1887055;-0,1476483;9,648254
192;-0,1966435;-0,149101555;9,657587
193;-0,20169495;-0,1585477;9,665484
194;-0,1887055;-0,151281431;9,649691
195;-0,174272776;-0,146921679;9,642511
196;-0,178602591;-0,151281431;9,645383
197;-0,187262222;-0,1505548;9,643948
198;-0,1908704;-0,152008057;9,649691
199;-0,190148771;-0,154914558;9,657587
200;-0,189427137;-0,151281431;9,65687
201;-0,1966435;-0,1505548;9,656152
202;-0,197365135;-0,152008057;9,661895
203;-0,187983871;-0,145468414;9,651844
204;-0,186540589;-0,140382037;9,641794
205;-0,192313686;-0,145468414;9,659741
206;-0,1988084;-0,142561913;9,660459
207;-0,207468033;-0,141108662;9,651126
208;-0,210354581;-0,151281431;9,664766
209;-0,2067464;-0,149101555;9,651844
210;-0,200973317;-0,144741789;9,631025
211;-0,195921853;-0,14837493;9,63964
212;-0,1966435;-0,142561913;9,637486
213;-0,206024766;-0,142561913;9,637486
214;-0,21540603;-0,152008057;9,657587
215;-0,219014212;-0,149828181;9,661177
216;-0,219735846;-0,142561913;9,656152
217;-0,219014212;-0,146921679;9,66333
218;-0,212519482;-0,152008057;9,652562
219;-0,205303133;-0,1505548;9,642511
220;-0,209632948;-0,151281431;9,650409
221;-0,219014212;-0,1505548;9,645383
222;-0,224065661;-0,1505548;9,645383
223;-0,233446926;-0,157094449;9,65687
224;-0,2428282;-0,155641183;9,652562
225;-0,24066329;-0,1476483;9,647537
226;-0,22911711;-0,146921679;9,646819
227;-0,221179113;-0,1476483;9,644666
228;-0,224065661;-0,149828181;9,643948
229;-0,2247873;-0,151281431;9,645383
230;-0,225508943;-0,1505548;9,651126
231;-0,235611841;-0,1505548;9,651844
232;-0,24066329;-0,151281431;9,649691
233;-0,237776741;-0,1505548;9,651126
234;-0,236333475;-0,1476483;9,649691
235;-0,232725292;-0,1476483;9,647537
236;-0,233446926;-0,1476483;9,650409
