ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
153;-0,1165419;0,1720673;9,765269
154;-0,118706807;0,164074421;9,745887
155;-0,120871715;0,160441279;9,742297
156;-0,127366439;0,162621155;9,749476
157;-0,132417887;0,1553549;9,750194
158;-0,123758264;0,151721761;9,754501
159;-0,114376992;0,156808153;9,756655
160;-0,115098625;0,153901652;9,763834
161;-0,110047176;0,148815259;9,763116
162;-0,104274087;0,146635383;9,753065
163;-0,101387545;0,142275617;9,753783
164;-0,0963361;0,139369115;9,757373
165;-0,09200627;0,143002257;9,756655
166;-0,0883981;0,147362009;9,753065
167;-0,0883981;0,154628277;9,745887
168;-0,08334664;0,1611679;9,753783
169;-0,07685192;0,162621155;9,767423
170;-0,08262501;0,156808153;9,759526
171;-0,0927279145;0,148815259;9,74804
172;-0,0985010043;0,15026851;9,758808
173;-0,100665912;0,158988029;9,768859
174;-0,101387545;0,160441279;9,760244
175;-0,109325543;0,1582614;9,763116
176;-0,120150082;0,1582614;9,765269
177;-0,1244799;0,1582614;9,757373
178;-0,127366439;0,1611679;9,760244
179;-0,131696254;0,159714654;9,763116
180;-0,135304436;0,154628277;9,750194
181;-0,1367477;0,152448386;9,741579
182;-0,135304436;0,149541885;9,75163
183;-0,130252987;0,153901652;9,757373
184;-0,1288097;0,162621155;9,756655
185;-0,128088072;0,156808153;9,756655
186;-0,117985174;0,148815259;9,757373
187;-0,107882269;0,1553549;9,759526
188;-0,103552453;0,156808153;9,76168
189;-0,0927279145;0,145908758;9,764551
190;-0,0819033757;0,147362009;9,76096249
191;-0,07757356;0,156808153;9,753065
192;-0,070357196;0,154628277;9,755219
193;-0,06386247;0,148815259;9,76168
194;-0,06602738;0,153901652;9,753065
195;-0,070357196;0,16189453;9,748758
196;-0,0732437447;0,16189453;9,755219
197;-0,07396538;0,1611679;9,754501
198;-0,07540865;0,1611679;9,752348
199;-0,0869548246;0,1611679;9,753065
200;-0,09777936;0,16189453;9,755219
201;-0,0985010043;0,159714654;9,75163
202;-0,101387545;0,156808153;9,745169
203;-0,113655359;0,1611679;9,740862
204;-0,119428448;0,160441279;9,743733
205;-0,12231499;0,152448386;9,753065
206;-0,128088072;0,148815259;9,754501
207;-0,13602607;0,15026851;9,755219
208;-0,137469351;0,149541885;9,758091
209;-0,129531354;0,148815259;9,76096249
210;-0,128088072;0,154628277;9,762398
211;-0,129531354;0,162621155;9,763116
212;-0,127366439;0,156808153;9,757373
213;-0,12231499;0,148088634;9,752348
214;-0,1086039;0,154628277;9,755219
215;-0,100665912;0,162621155;9,756655
216;-0,0927279145;0,156808153;9,760244
217;-0,07685192;0,150995135;9,759526
218;-0,07396538;0,153175026;9,755219
219;-0,0761302859;0,153901652;9,749476
220;-0,0725221038;0,157534778;9,747322
221;-0,070357196;0,156081527;9,76168
222;-0,06819229;0,149541885;9,768859
223;-0,0732437447;0,149541885;9,764551
224;-0,07757356;0,156081527;9,765987
225;-0,07180047;0,158988029;9,756655
226;-0,0761302859;0,1582614;9,750194
227;-0,09200627;0,1582614;9,758091
228;-0,105717361;0,16189453;9,755219
229;-0,112212084;0,16189453;9,756655
230;-0,112212084;0,1611679;9,763116
231;-0,114376992;0,1611679;9,758091
232;-0,1165419;0,1611679;9,752348
233;-0,112212084;0,16189453;9,753783
234;-0,110047176;0,167707548;9,758808
235;-0,112212084;0,168434173;9,763834
236;-0,110047176;0,1662543;9,756655
237;-0,104274087;0,1691608;9,756655
238;-0,09705773;0,1691608;9,765987
239;-0,0956144556;0,164801046;9,758808
240;-0,09200627;0,163347781;9,752348
241;-0,07901683;0,16189453;9,758808
242;-0,07468701;0,156081527;9,755937
243;-0,0725221038;0,149541885;9,752348
244;-0,061697565;0,148815259;9,765269
245;-0,05592448;0,15026851;9,767423
246;-0,0624192022;0,149541885;9,74804
247;-0,0645841062;0,15026851;9,741579
248;-0,0674706548;0,148815259;9,750912
249;-0,07468701;0,149541885;9,753783
250;-0,07468701;0,1553549;9,754501
251;-0,07757356;0,156081527;9,758091
252;-0,08551155;0,1553549;9,759526
253;-0,09200627;0,160441279;9,760244
254;-0,101387545;0,16189453;9,755219
255;-0,1086039;0,1611679;9,756655
256;-0,112212084;0,16189453;9,768141
257;-0,113655359;0,160441279;9,76168
258;-0,1165419;0,162621155;9,753065
259;-0,115098625;0,170614049;9,755937
260;-0,105717361;0,169887424;9,750912
261;-0,09994427;0,158988029;9,75163
262;-0,0985010043;0,156808153;9,757373
263;-0,09056301;0,1611679;9,752348
264;-0,0804601;0,16189453;9,750912
265;-0,0761302859;0,1611679;9,750912
266;-0,06602738;0,1611679;9,75163
267;-0,05736775;0,16189453;9,756655
268;-0,053037934;0,160441279;9,753065
269;-0,04077012;0,152448386;9,750912
270;-0,03355376;0,148815259;9,760244
271;-0,037883576;0,149541885;9,755219
272;-0,03932685;0,149541885;9,748758
273;-0,03932685;0,153901652;9,755937
274;-0,0400484838;0,156081527;9,754501
275;-0,0400484838;0,150995135;9,756655
276;-0,0508730263;0,153901652;9,765987
277;-0,0645841062;0,16189453;9,760244
278;-0,066749014;0,160441279;9,752348
279;-0,0732437447;0,156808153;9,756655
280;-0,08334664;0,160441279;9,762398
281;-0,08911973;0,16189453;9,753783
282;-0,09128464;0,1611679;9,74804
283;-0,09056301;0,1611679;9,755937
284;-0,0963361;0,160441279;9,756655
285;-0,09922264;0,163347781;9,748758
286;-0,09344955;0,1662543;9,75163
287;-0,0883981;0,156808153;9,76670551
288;-0,08334664;0,149541885;9,765269
289;-0,07829519;0,152448386;9,753065
290;-0,0725221038;0,153901652;9,755937
291;-0,066749014;0,148088634;9,756655
292;-0,0580893867;0,140095741;9,750912
293;-0,04870812;0,13864249;9,756655
294;-0,044378303;0,143728882;9,757373
295;-0,0400484838;0,147362009;9,752348
296;-0,03571867;0,151721761;9,755219
297;-0,0328321271;0,153901652;9,754501
298;-0,0306672174;0,15026851;9,753065
299;-0,0328321271;0,15026851;9,753783
300;-0,03355376;0,1553549;9,746605
301;-0,03355376;0,158988029;9,753065
302;-0,04077012;0,1611679;9,768141
303;-0,04870812;0,165527672;9,76096249
304;-0,0494297519;0,166980922;9,750194
305;-0,053037934;0,164074421;9,756655
306;-0,0595326573;0,164074421;9,753783
307;-0,06602738;0,164074421;9,750912
308;-0,070357196;0,1611679;9,759526
309;-0,0674706548;0,159714654;9,756655
