ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;-0,5004523;-0,1505548;9,678406
1;-0,4809681;-0,154914558;9,689174
2;-0,491071;-0,163634077;9,68271351
3;-0,491792619;-0,160727575;9,677688
4;-0,4773599;-0,157821074;9,677688
5;-0,473751724;-0,166540578;9,67697048
6;-0,4773599;-0,1643607;9,678406
7;-0,474473357;-0,151281431;9,657587
8;-0,4650921;-0,157094449;9,66692
9;-0,4629272;-0,165087327;9,69061
10;-0,4629272;-0,1534613;9,669073
11;-0,4549892;-0,154914558;9,670509
12;-0,454267561;-0,1614542;9,686302
13;-0,462205529;-0,149828181;9,666202
14;-0,456432462;-0,14837493;9,672663
15;-0,4456079;-0,159274325;9,6942
16;-0,451381;-0,1534613;9,674816
17;-0,4549892;-0,1505548;9,65687
18;-0,4456079;-0,160727575;9,681995
19;-0,4412781;-0,157094449;9,689892
20;-0,444886267;-0,151281431;9,664766
21;-0,441999733;-0,163634077;9,681995
22;-0,4311752;-0,163634077;9,694917
23;-0,426845372;-0,154187933;9,66333
24;-0,4210723;-0,163634077;9,67697048
25;-0,4073612;-0,163634077;9,688457
26;-0,400866479;-0,154187933;9,661177
27;-0,400144845;-0,163634077;9,680559
28;-0,394371748;-0,159274325;9,684867
29;-0,3936501;-0,142561913;9,658305
30;-0,395815045;-0,152734682;9,679842
31;-0,38426885;-0,156367809;9,68271351
32;-0,3727227;-0,14837493;9,665484
33;-0,377774119;-0,1585477;9,683431
34;-0,378495753;-0,159274325;9,684149
35;-0,367671221;-0,152008057;9,679842
36;-0,3647847;-0,157094449;9,684149
37;-0,3669496;-0,160727575;9,669791
38;-0,358289957;-0,155641183;9,66692
39;-0,355403423;-0,152008057;9,669791
40;-0,356125057;-0,16000095;9,67697048
41;-0,343857229;-0,1614542;9,683431
42;-0,3431356;-0,154914558;9,674099
43;-0,355403423;-0,159274325;9,681995
44;-0,3510736;-0,157094449;9,683431
45;-0,336640865;-0,156367809;9,674816
46;-0,332311064;-0,165813953;9,69061
47;-0,336640865;-0,159274325;9,670509
48;-0,32942453;-0,160727575;9,662613
49;-0,321486533;-0,173080221;9,695635
50;-0,3229298;-0,160727575;9,676252
51;-0,3092187;-0,154187933;9,66692
52;-0,3012807;-0,166540578;9,689174
53;-0,310661972;-0,160727575;9,672663
54;-0,296229273;-0,1505548;9,669073
55;-0,282518178;-0,159274325;9,67697048
56;-0,29550764;-0,165087327;9,669073
57;-0,292621076;-0,156367809;9,679124
58;-0,278188378;-0,151281431;9,684149
59;-0,2832398;-0,16000095;9,678406
60;-0,2810749;-0,163634077;9,678406
61;-0,27025038;-0,156367809;9,677688
62;-0,276745081;-0,156367809;9,679842
63;-0,27241528;-0,159274325;9,674099
64;-0,252931118;-0,16000095;9,671227
65;-0,255096018;-0,1614542;9,683431
66;-0,264477283;-0,157094449;9,681277
67;-0,255096018;-0,157094449;9,67697048
68;-0,247879654;-0,165813953;9,679842
69;-0,255817652;-0,163634077;9,673381
70;-0,255817652;-0,1614542;9,673381
71;-0,245714739;-0,166540578;9,680559
72;-0,242106557;-0,165087327;9,683431
73;-0,241384923;-0,160727575;9,677688
74;-0,231282026;-0,167993844;9,681995
75;-0,22695221;-0,17017372;9,688457
76;-0,228395477;-0,156367809;9,66333
77;-0,2168493;-0,157821074;9,665484
78;-0,208911315;-0,165087327;9,693481
79;-0,2146844;-0,154187933;9,671227
80;-0,207468033;-0,154914558;9,671227
81;-0,189427137;-0,1614542;9,692763
82;-0,1908704;-0,152734682;9,670509
83;-0,197365135;-0,155641183;9,679124
84;-0,189427137;-0,166540578;9,692763
85;-0,185818955;-0,1643607;9,678406
86;-0,190148771;-0,160727575;9,68702
87;-0,184375688;-0,159274325;9,684149
88;-0,180045873;-0,16000095;9,681277
89;-0,1908704;-0,1614542;9,689892
90;-0,185097322;-0,165087327;9,686302
91;-0,173551142;-0,17017372;9,701378
92;-0,180045873;-0,165087327;9,685585
93;-0,174272776;-0,163634077;9,661177
94;-0,164891511;-0,17017372;9,68702
95;-0,1706646;-0,162180826;9,68271351
96;-0,164891511;-0,154914558;9,666202
97;-0,161283329;-0,160727575;9,684149
98;-0,1684997;-0,1585477;9,684149
