ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
0;-0,228395477;-0,17162697;9,672663
1;-0,227673844;-0,17017372;9,67697048
2;-0,235611841;-0,170900345;9,685585
3;-0,243549839;-0,174533471;9,685585
4;-0,252209455;-0,174533471;9,68271351
5;-0,247158021;-0,1723536;9,683431
6;-0,234168574;-0,175986722;9,688457
7;-0,224065661;-0,18179974;9,689892
8;-0,217570946;-0,177439973;9,683431
9;-0,220457479;-0,173080221;9,678406
10;-0,231282026;-0,173806846;9,68271351
11;-0,239941657;-0,174533471;9,687738
12;-0,239220023;-0,173080221;9,687738
13;-0,231282026;-0,175986722;9,68702
14;-0,219014212;-0,178166613;9,688457
15;-0,210354581;-0,174533471;9,689174
16;-0,209632948;-0,173806846;9,685585
17;-0,213962764;-0,173080221;9,683431
18;-0,219014212;-0,1643607;9,684149
19;-0,225508943;-0,162907451;9,689892
20;-0,2247873;-0,17017372;9,692045
21;-0,219014212;-0,177439973;9,687738
22;-0,21540603;-0,178166613;9,68271351
23;-0,211797848;-0,1694471;9,675534
24;-0,209632948;-0,165813953;9,676252
25;-0,210354581;-0,168720469;9,688457
26;-0,21540603;-0,17017372;9,695635
27;-0,221179113;-0,175986722;9,69061
28;-0,226230577;-0,174533471;9,68702
29;-0,224065661;-0,165813953;9,687738
30;-0,211797848;-0,170900345;9,681995
31;-0,208911315;-0,174533471;9,68271351
32;-0,213962764;-0,1694471;9,688457
33;-0,218292579;-0,175986722;9,692045
34;-0,224065661;-0,182526365;9,689174
35;-0,227673844;-0,17162697;9,683431
36;-0,22911711;-0,170900345;9,689174
37;-0,221900761;-0,181073114;9,688457
38;-0,216127664;-0,177439973;9,681995
39;-0,216127664;-0,174533471;9,686302
40;-0,218292579;-0,177439973;9,691328
41;-0,218292579;-0,174533471;9,6942
42;-0,221179113;-0,174533471;9,692045
43;-0,226230577;-0,17162697;9,687738
44;-0,220457479;-0,165813953;9,686302
45;-0,21324113;-0,170900345;9,681277
46;-0,210354581;-0,1723536;9,68271351
47;-0,212519482;-0,166540578;9,689892
48;-0,212519482;-0,17017372;9,691328
49;-0,213962764;-0,170900345;9,69061
50;-0,227673844;-0,17162697;9,689892
51;-0,232003659;-0,1752601;9,684867
52;-0,228395477;-0,168720469;9,680559
53;-0,225508943;-0,163634077;9,68271351
