ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
149;-0,546636939;-0,385255128;9,781063
150;-0,552410066;-0,383075237;9,7889595
151;-0,5552966;-0,3787155;9,806189
152;-0,554574966;-0,371449232;9,806189
153;-0,554574966;-0,369995981;9,7889595
154;-0,556739867;-0,369269341;9,776037
155;-0,5509668;-0,36708945;9,786806
156;-0,5459153;-0,372175843;9,793984
157;-0,548801839;-0,372902483;9,783935
158;-0,5473586;-0,369269341;9,78178
159;-0,5451937;-0,369269341;9,792549
160;-0,5495235;-0,3736291;9,790395
161;-0,5531317;-0,3736291;9,789678
162;-0,554574966;-0,3649096;9,795421
163;-0,548801839;-0,3649096;9,790395
164;-0,5408639;-0,374355733;9,791831
165;-0,5415855;-0,371449232;9,787523
166;-0,544472039;-0,363456339;9,77532
167;-0,5459153;-0,3685427;9,78537
168;-0,5430288;-0,3736291;9,796138
169;-0,5372557;-0,3736291;9,793266
170;-0,5322042;-0,3787155;9,799727
171;-0,532925844;-0,381622;9,806189
172;-0,5365341;-0,381622;9,796856
173;-0,5322042;-0,38888824;9,7889595
174;-0,522823;-0,396154523;9,791113
175;-0,5163282;-0,387435;9,786088
176;-0,5112768;-0,380168736;9,786088
177;-0,506225348;-0,387435;9,791113
178;-0,49828735;-0,388161629;9,784652
179;-0,491792619;-0,383075237;9,788241
180;-0,49395752;-0,385981739;9,801881
181;-0,4954008;-0,38888824;9,794703
182;-0,4932359;-0,386708379;9,786088
183;-0,486019522;-0,38961488;9,794703
184;-0,475916624;-0,391068131;9,796138
185;-0,4730301;-0,383075237;9,792549
186;-0,478081524;-0,381622;9,791113
187;-0,4809681;-0,381622;9,791113
188;-0,486741155;-0,375808984;9,793984
189;-0,4932359;-0,3736291;9,791113
190;-0,491071;-0,372175843;9,794703
191;-0,4889061;-0,369995981;9,793266
192;-0,49395752;-0,369995981;9,778909
193;-0,5011739;-0,369995981;9,778192
194;-0,501895547;-0,372175843;9,783216
195;-0,499008983;-0,3765356;9,781063
196;-0,5026172;-0,3765356;9,783935
197;-0,512720048;-0,3736291;9,791113
198;-0,5134417;-0,372902483;9,796856
199;-0,506225348;-0,374355733;9,797574
200;-0,5033388;-0,375082344;9,786806
201;-0,5047821;-0,3765356;9,786088
202;-0,504060447;-0,371449232;9,799727
203;-0,496844083;-0,3627297;9,799727
204;-0,486741155;-0,364182949;9,7889595
205;-0,4809681;-0,3736291;9,78537
206;-0,475195;-0,381622;9,783216
207;-0,4650921;-0,382348627;9,784652
208;-0,4535459;-0,379442126;9,793984
209;-0,444164634;-0,377988845;9,797574
210;-0,431896836;-0,380895376;9,799727
211;-0,418907374;-0,385981739;9,81121349
212;-0,4152992;-0,38888824;9,818393
213;-0,423958838;-0,38961488;9,81121349
214;-0,431896836;-0,396881133;9,799727
215;-0,426845372;-0,401967525;9,793984
216;-0,416742474;-0,395427883;9,78537
217;-0,421793938;-0,392521381;9,777473
218;-0,4232372;-0,393974632;9,778909
219;-0,412412673;-0,391794771;9,788241
220;-0,4095261;-0,388161629;9,804035
221;-0,4131343;-0,380168736;9,814085
222;-0,412412673;-0,371449232;9,803317
223;-0,410247743;-0,369269341;9,793266
224;-0,4131343;-0,3707226;9,793266
225;-0,416742474;-0,369995981;9,786088
226;-0,41385594;-0,371449232;9,781063
227;-0,414577574;-0,374355733;9,786088
228;-0,41385594;-0,374355733;9,787523
229;-0,408082843;-0,375808984;9,788241
230;-0,403753;-0,380895376;9,788241
231;-0,4015881;-0,382348627;9,788241
232;-0,400144845;-0,381622;9,801164
233;-0,400144845;-0,383075237;9,814085
234;-0,400144845;-0,385255128;9,808342
235;-0,395815045;-0,387435;9,796138
236;-0,402309746;-0,38888824;9,793984
237;-0,410247743;-0,383801877;9,792549
238;-0,402309746;-0,3845285;9,783216
239;-0,398701578;-0,395427883;9,795421
240;-0,4051963;-0,393974632;9,803317
241;-0,4015881;-0,377988845;9,786806
242;-0,387877047;-0,3765356;9,793984
243;-0,381382316;-0,377988845;9,792549
244;-0,383547217;-0,3656362;9,78178
245;-0,383547217;-0,363456339;9,797574
246;-0,379217416;-0,36636284;9,795421
247;-0,373444319;-0,3649096;9,782498
248;-0,368392855;-0,369269341;9,791831
249;-0,361898154;-0,3707226;9,796138
250;-0,35251686;-0,3656362;9,793266
251;-0,343857229;-0,3685427;9,796856
252;-0,338084161;-0,380168736;9,80547
253;-0,331589431;-0,385255128;9,801881
254;-0,323651433;-0,38888824;9,790395
255;-0,3207649;-0,400514275;9,799727
256;-0,317878336;-0,405600667;9,800446
257;-0,307775438;-0,404874027;9,786806
258;-0,304167271;-0,41286692;9,803317
259;-0,305610538;-0,409960419;9,80906
260;-0,305610538;-0,397607774;9,791831
261;-0,3048889;-0,399787635;9,795421
262;-0,2991158;-0,403420776;9,795421
263;-0,294064343;-0,395427883;9,784652
264;-0,294786;-0,39034152;9,794703
265;-0,2933427;-0,383075237;9,795421
266;-0,2933427;-0,374355733;9,7889595
267;-0,2991158;-0,371449232;9,80547
268;-0,300559074;-0,36636284;9,808342
269;-0,303445637;-0,3598232;9,789678
270;-0,3128269;-0,3656362;9,790395
271;-0,3171567;-0,36708945;9,796138
272;-0,3193216;-0,363456339;9,794703
273;-0,324373066;-0,3678161;9,802599
274;-0,321486533;-0,3707226;9,806907
275;-0,317878336;-0,372902483;9,794703
276;-0,3193216;-0,380895376;9,792549
277;-0,3171567;-0,3845285;9,796138
278;-0,3149918;-0,385981739;9,789678
279;-0,312105268;-0,38888824;9,793266
280;-0,305610538;-0,387435;9,801164
281;-0,302723974;-0,380895376;9,801164
282;-0,29550764;-0,3845285;9,803317
283;-0,283961445;-0,392521381;9,800446
284;-0,27891;-0,395427883;9,781063
285;-0,2753018;-0,39034152;9,772449
286;-0,263755649;-0,383075237;9,791113
287;-0,257982552;-0,377988845;9,794703
288;-0,249322921;-0,372175843;9,778192
289;-0,234168574;-0,372175843;9,782498
290;-0,233446926;-0,380168736;9,7889595
291;-0,239941657;-0,380895376;9,786806
292;-0,239220023;-0,379442126;9,796856
293;-0,239941657;-0,381622;9,802599
294;-0,241384923;-0,383801877;9,797574
295;-0,234168574;-0,38961488;9,797574
296;-0,231282026;-0,38961488;9,799009
297;-0,235611841;-0,383075237;9,7889595
298;-0,234168574;-0,387435;9,789678
299;-0,234890208;-0,398334384;9,80547
300;-0,242106557;-0,393248022;9,801164
301;-0,248601288;-0,388161629;9,793984
302;-0,246436387;-0,394701272;9,803317
303;-0,242106557;-0,396154523;9,80547
304;-0,246436387;-0,39034152;9,801881
305;-0,248601288;-0,382348627;9,793984
306;-0,247158021;-0,383801877;9,782498
307;-0,2507662;-0,393974632;9,787523
308;-0,251487821;-0,391794771;9,786088
309;-0,243549839;-0,380168736;9,783935
310;-0,23849839;-0,377988845;9,801164
311;-0,241384923;-0,379442126;9,802599
312;-0,246436387;-0,3765356;9,791831
313;-0,2449931;-0,377988845;9,791113
314;-0,23849839;-0,374355733;9,796856
315;-0,236333475;-0,374355733;9,804035
316;-0,24066329;-0,377262235;9,797574
317;-0,243549839;-0,372175843;9,78537
318;-0,239941657;-0,3765356;9,789678
319;-0,239220023;-0,383075237;9,786806
320;-0,242106557;-0,374355733;9,779627
321;-0,237055108;-0,372175843;9,790395
322;-0,22911711;-0,380895376;9,789678
323;-0,230560392;-0,382348627;9,783216
324;-0,22911711;-0,385255128;9,7889595
325;-0,2226224;-0,38961488;9,792549
326;-0,2247873;-0,38888824;9,796856
327;-0,22911711;-0,38888824;9,792549
328;-0,227673844;-0,38961488;9,78178
329;-0,22695221;-0,391794771;9,786088
330;-0,218292579;-0,393974632;9,802599
331;-0,208189666;-0,393248022;9,811932
332;-0,205303133;-0,392521381;9,802599
333;-0,203859851;-0,396881133;9,795421
334;-0,199530035;-0,396881133;9,794703
335;-0,195921853;-0,38888824;9,790395
336;-0,1908704;-0,385981739;9,798292
337;-0,1887055;-0,396154523;9,802599
338;-0,191592038;-0,402694166;9,798292
339;-0,194478586;-0,393974632;9,797574
340;-0,193035319;-0,388161629;9,799009
341;-0,191592038;-0,393248022;9,804035
342;-0,193035319;-0,391068131;9,793984
343;-0,193756953;-0,382348627;9,780345
344;-0,203859851;-0,3845285;9,792549
345;-0,2168493;-0,385255128;9,798292
346;-0,217570946;-0,377988845;9,7889595
347;-0,216127664;-0,377262235;9,7889595
348;-0,2226224;-0,377988845;9,7889595
349;-0,227673844;-0,377988845;9,788241
350;-0,236333475;-0,381622;9,801881
351;-0,247879654;-0,3787155;9,806189
352;-0,252209455;-0,375082344;9,795421
353;-0,254374385;-0,377988845;9,791113
354;-0,2507662;-0,3765356;9,793266
355;-0,250044554;-0,372902483;9,801881
356;-0,257260919;-0,3765356;9,804752
357;-0,252209455;-0,380168736;9,7889595
358;-0,247158021;-0,385255128;9,783935
359;-0,246436387;-0,393248022;9,791831
360;-0,234168574;-0,391794771;9,793984
361;-0,22911711;-0,383075237;9,794703
362;-0,231282026;-0,380168736;9,78537
363;-0,224065661;-0,383801877;9,78537
364;-0,218292579;-0,385981739;9,795421
365;-0,218292579;-0,383075237;9,788241
366;-0,2168493;-0,385255128;9,7889595
367;-0,211797848;-0,386708379;9,800446
368;-0,210354581;-0,380168736;9,797574
369;-0,2146844;-0,380168736;9,799727
370;-0,212519482;-0,3845285;9,793984
371;-0,209632948;-0,388161629;9,781063
372;-0,211797848;-0,392521381;9,788241
373;-0,216127664;-0,393974632;9,797574
374;-0,217570946;-0,39034152;9,796856
375;-0,21540603;-0,39034152;9,793266
376;-0,218292579;-0,393248022;9,7889595
377;-0,22911711;-0,393248022;9,793266
378;-0,242106557;-0,393974632;9,803317
379;-0,2449931;-0,393248022;9,799009
380;-0,244271472;-0,386708379;9,791113
381;-0,251487821;-0,383075237;9,795421
382;-0,252931118;-0,386708379;9,804035
383;-0,250044554;-0,385981739;9,806907
384;-0,253652751;-0,383075237;9,793266
385;-0,257982552;-0,382348627;9,781063
386;-0,263034016;-0,379442126;9,797574
387;-0,268807083;-0,371449232;9,809778
388;-0,27025038;-0,3685427;9,798292
389;-0,271693647;-0,372902483;9,790395
390;-0,274580181;-0,380895376;9,793984
391;-0,273858547;-0,383801877;9,799009
392;-0,2731369;-0,377988845;9,793266
393;-0,280353278;-0,374355733;9,781063
394;-0,290456176;-0,379442126;9,786806
395;-0,294064343;-0,383801877;9,797574
396;-0,2890129;-0,381622;9,797574
397;-0,2854047;-0,375082344;9,792549
398;-0,2890129;-0,369995981;9,784652
399;-0,288291276;-0,3707226;9,790395
400;-0,2854047;-0,3685427;9,796856
401;-0,2911778;-0,369269341;9,792549
402;-0,294786;-0,3787155;9,794703
403;-0,29550764;-0,383075237;9,793266
404;-0,29983744;-0,381622;9,792549
405;-0,296229273;-0,383801877;9,798292
406;-0,287569642;-0,383075237;9,783216
407;-0,2911778;-0,385981739;9,784652
408;-0,29550764;-0,385981739;9,80547
409;-0,2933427;-0,383801877;9,794703
410;-0,289734542;-0,395427883;9,799009
411;-0,2911778;-0,404874027;9,808342
412;-0,29767254;-0,399061024;9,794703
413;-0,294786;-0,396881133;9,803317
414;-0,2854047;-0,395427883;9,801164
415;-0,287569642;-0,386708379;9,783935
416;-0,2933427;-0,380895376;9,795421
417;-0,290456176;-0,383801877;9,804752
418;-0,294064343;-0,38961488;9,793984
419;-0,2991158;-0,38888824;9,780345
420;-0,302723974;-0,3845285;9,782498
421;-0,310661972;-0,380895376;9,795421
422;-0,314270169;-0,375082344;9,788241
423;-0,3229298;-0,3765356;9,783935
424;-0,340249062;-0,383075237;9,790395
425;-0,3431356;-0,381622;9,788241
426;-0,3467438;-0,3787155;9,792549
427;-0,359733224;-0,377262235;9,793984
428;-0,3626198;-0,374355733;9,788241
429;-0,363341421;-0,3765356;9,801164
430;-0,3748876;-0,3787155;9,807624
431;-0,384990484;-0,375082344;9,793984
432;-0,38426885;-0,374355733;9,784652
433;-0,379217416;-0,377262235;9,788241
434;-0,381382316;-0,379442126;9,792549
435;-0,384990484;-0,381622;9,796856
436;-0,385712117;-0,382348627;9,796856
437;-0,387877047;-0,381622;9,783935
438;-0,3871554;-0,3845285;9,787523
439;-0,38426885;-0,385981739;9,802599
440;-0,38426885;-0,382348627;9,791113
441;-0,384990484;-0,380895376;9,783216
442;-0,384990484;-0,383075237;9,799009
443;-0,379217416;-0,385981739;9,796856
444;-0,3691145;-0,383801877;9,7889595
445;-0,3647847;-0,381622;9,797574
446;-0,367671221;-0,381622;9,799727
447;-0,369836122;-0,382348627;9,794703
448;-0,368392855;-0,381622;9,791831
449;-0,374165952;-0,381622;9,786088
450;-0,38426885;-0,383075237;9,7889595
451;-0,379939049;-0,385255128;9,796856
452;-0,375609219;-0,385981739;9,795421
453;-0,390763581;-0,38888824;9,800446
454;-0,400144845;-0,38888824;9,800446
455;-0,400144845;-0,385981739;9,799009
456;-0,405917943;-0,392521381;9,806907
457;-0,411691;-0,391794771;9,799009
458;-0,4174641;-0,383075237;9,796138
459;-0,424680471;-0,382348627;9,806189
460;-0,430453569;-0,38888824;9,802599
461;-0,437669933;-0,392521381;9,790395
462;-0,439834833;-0,387435;9,781063
463;-0,4391132;-0,377988845;9,782498
464;-0,4456079;-0,379442126;9,792549
465;-0,450659364;-0,379442126;9,793266
466;-0,452102631;-0,371449232;9,793984
467;-0,4549892;-0,369269341;9,795421
468;-0,4549892;-0,3707226;9,793984
469;-0,462205529;-0,36636284;9,795421
470;-0,47086516;-0,3620031;9,791113
471;-0,4629272;-0,3627297;9,782498
472;-0,4571541;-0,3678161;9,781063
473;-0,467978626;-0,369995981;9,786088
474;-0,471586823;-0,369995981;9,790395
475;-0,473751724;-0,377988845;9,793266
476;-0,480246454;-0,382348627;9,793984
477;-0,475916624;-0,375808984;9,791831
478;-0,475195;-0,3736291;9,789678
479;-0,478803158;-0,374355733;9,791831
480;-0,473751724;-0,372902483;9,786088
481;-0,474473357;-0,380895376;9,780345
482;-0,478081524;-0,38888824;9,795421
483;-0,479524821;-0,388161629;9,806189
484;-0,483854622;-0,388161629;9,797574
485;-0,481689721;-0,385981739;9,793984
486;-0,474473357;-0,385255128;9,800446
487;-0,475916624;-0,38888824;9,801164
488;-0,4773599;-0,386708379;9,794703
489;-0,475916624;-0,383801877;9,791831
490;-0,478081524;-0,388161629;9,793984
491;-0,476638258;-0,385981739;9,801164
492;-0,473751724;-0,381622;9,806189
493;-0,475195;-0,381622;9,791831
494;-0,476638258;-0,383075237;9,784652
495;-0,4773599;-0,380895376;9,798292
496;-0,4773599;-0,375082344;9,799727
497;-0,4773599;-0,377988845;9,793984
498;-0,4809681;-0,379442126;9,793266
499;-0,486741155;-0,3707226;9,791113
500;-0,499730617;-0,372902483;9,795421
501;-0,5098335;-0,377988845;9,797574
502;-0,5098335;-0,372175843;9,786088
503;-0,512720048;-0,369269341;9,778909
504;-0,517049849;-0,369995981;9,792549
505;-0,5257095;-0,369995981;9,804035
506;-0,540142238;-0,377262235;9,793984
507;-0,5437504;-0,383075237;9,786088
508;-0,5451937;-0,375082344;9,7889595
509;-0,551688433;-0,369269341;9,791113
510;-0,554574966;-0,372902483;9,791113
511;-0,552410066;-0,374355733;9,782498
512;-0,552410066;-0,375082344;9,77173
513;-0,5509668;-0,3787155;9,783935
514;-0,5430288;-0,375808984;9,799009
515;-0,542307138;-0,369995981;9,796138
516;-0,548801839;-0,369995981;9,800446
517;-0,544472039;-0,372902483;9,794703
518;-0,5365341;-0,374355733;9,777473
519;-0,537977338;-0,371449232;9,786806
520;-0,5372557;-0,36636284;9,799009
521;-0,5271528;-0,369269341;9,787523
522;-0,5206581;-0,382348627;9,783216
523;-0,5249879;-0,385981739;9,7889595
524;-0,5278744;-0,379442126;9,784652
525;-0,5184932;-0,379442126;9,781063
526;-0,5098335;-0,383075237;9,778909
527;-0,5134417;-0,382348627;9,788241
528;-0,517049849;-0,381622;9,802599
529;-0,5156066;-0,381622;9,791831
530;-0,5213797;-0,381622;9,779627
531;-0,526431143;-0,3845285;9,794703
532;-0,5206581;-0,385255128;9,804752
533;-0,522101343;-0,38888824;9,799727
534;-0,5343692;-0,394701272;9,7889595
535;-0,5394206;-0,391068131;9,786088
536;-0,542307138;-0,383801877;9,798292
537;-0,5451937;-0,385255128;9,799727
538;-0,546636939;-0,386708379;9,788241
539;-0,551688433;-0,385255128;9,783216
540;-0,5531317;-0,383075237;9,7889595
541;-0,5552966;-0,377988845;9,800446
542;-0,5617913;-0,374355733;9,796138
543;-0,565399468;-0,380168736;9,781063
544;-0,560348034;-0,383075237;9,78537
545;-0,5552966;-0,374355733;9,792549
546;-0,561069667;-0,3707226;9,791831
547;-0,5697293;-0,375082344;9,786806
548;-0,5596264;-0,3707226;9,782498
549;-0,5480802;-0,3620031;9,791831
550;-0,5617913;-0,364182949;9,801881
551;-0,5711726;-0,3656362;9,797574
552;-0,5596264;-0,360549837;9,789678
553;-0,5473586;-0,364182949;9,791831
554;-0,552410066;-0,372175843;9,793266
555;-0,561069667;-0,3736291;9,790395
556;-0,5480802;-0,375082344;9,800446
557;-0,542307138;-0,379442126;9,798292
558;-0,553853333;-0,3787155;9,782498
559;-0,548801839;-0,379442126;9,787523
560;-0,5408639;-0,385255128;9,792549
561;-0,5451937;-0,385255128;9,779627
562;-0,5451937;-0,381622;9,779627
563;-0,538699;-0,383801877;9,786806
564;-0,532925844;-0,386708379;9,7889595
565;-0,5343692;-0,386708379;9,792549
566;-0,5336475;-0,382348627;9,7889595
567;-0,5278744;-0,382348627;9,788241
568;-0,5235446;-0,38888824;9,803317
569;-0,517771542;-0,380895376;9,796856
570;-0,5141633;-0,369995981;9,773166
571;-0,5098335;-0,3765356;9,778909
572;-0,506225348;-0,38888824;9,798292
573;-0,5098335;-0,3845285;9,788241
574;-0,5134417;-0,3765356;9,77532
575;-0,512720048;-0,383075237;9,786806
576;-0,5098335;-0,385981739;9,793984
577;-0,517771542;-0,3787155;9,789678
578;-0,5257095;-0,382348627;9,789678
579;-0,5192148;-0,387435;9,796138
580;-0,5206581;-0,379442126;9,804752
581;-0,5336475;-0,372902483;9,806189
582;-0,5322042;-0,3765356;9,797574
583;-0,522101343;-0,380895376;9,787523
584;-0,5249879;-0,377988845;9,78537
